Name;New_Measure_24-04-2023;
Description;;
Measure-Intervall;00:00:00.0040000;
;;

Time SN:540273 (S30X):P1;SN:540273 (S30X):P1 bar;Time SN:540273 (S30X):TOB1;SN:540273 (S30X):TOB1 °C;
24.04.2023 22:34:58.259;-0,0002514;24.04.2023 22:34:58.292;12,9599609;
24.04.2023 22:34:58.323;-0,0002327;24.04.2023 22:34:58.355;12,9599609;
24.04.2023 22:34:58.387;-0,0002489;24.04.2023 22:34:58.419;12,9599609;
24.04.2023 22:34:58.451;-0,0002125;24.04.2023 22:34:58.483;12,9599609;
24.04.2023 22:34:58.515;-0,0001624;24.04.2023 22:34:58.547;12,9599609;
24.04.2023 22:34:58.579;-0,0001472;24.04.2023 22:34:58.609;12,9599609;
24.04.2023 22:34:58.641;-8,46E-05;24.04.2023 22:34:58.673;12,9599609;
24.04.2023 22:34:58.705;-1,55E-05;24.04.2023 22:34:58.737;12,9599609;
24.04.2023 22:34:58.769;-5E-06;24.04.2023 22:34:58.801;12,9599609;
24.04.2023 22:34:58.833;0,0001119;24.04.2023 22:34:58.865;12,9599609;
24.04.2023 22:34:58.897;0,0001713;24.04.2023 22:34:58.929;12,9599609;
24.04.2023 22:34:58.961;0,0002259;24.04.2023 22:34:58.993;12,9716797;
24.04.2023 22:34:59.025;0,0002655;24.04.2023 22:34:59.057;12,9716797;
24.04.2023 22:34:59.089;0,0003102;24.04.2023 22:34:59.121;12,9716797;
24.04.2023 22:34:59.153;0,0003386;24.04.2023 22:34:59.185;12,9716797;
24.04.2023 22:34:59.217;0,0003931;24.04.2023 22:34:59.249;12,9716797;
24.04.2023 22:34:59.280;0,0003744;24.04.2023 22:34:59.313;12,9716797;
24.04.2023 22:34:59.345;0,0004694;24.04.2023 22:34:59.377;12,9716797;
24.04.2023 22:34:59.409;0,0005558;24.04.2023 22:34:59.440;12,9716797;
24.04.2023 22:34:59.472;0,0006827;24.04.2023 22:34:59.504;12,9716797;
24.04.2023 22:34:59.536;0,0008865;24.04.2023 22:34:59.568;12,9716797;
24.04.2023 22:34:59.600;0,0010879;24.04.2023 22:34:59.632;12,9716797;
24.04.2023 22:34:59.664;0,0013005;24.04.2023 22:34:59.696;12,9716797;
24.04.2023 22:34:59.728;0,0015477;24.04.2023 22:34:59.760;12,9716797;
24.04.2023 22:34:59.792;0,0018569;24.04.2023 22:34:59.824;12,9716797;
24.04.2023 22:34:59.856;0,0021794;24.04.2023 22:34:59.888;12,9716797;
24.04.2023 22:34:59.920;0,0025075;24.04.2023 22:34:59.952;12,9716797;
24.04.2023 22:34:59.984;0,0028159;24.04.2023 22:35:00.016;12,9716797;
24.04.2023 22:35:00.048;0,0031335;24.04.2023 22:35:00.080;12,9716797;
24.04.2023 22:35:00.112;0,00344;24.04.2023 22:35:00.144;12,9716797;
24.04.2023 22:35:00.176;0,0037477;24.04.2023 22:35:00.208;12,9716797;
24.04.2023 22:35:00.240;0,0039885;24.04.2023 22:35:00.272;12,9716797;
24.04.2023 22:35:00.304;0,0041216;24.04.2023 22:35:00.335;12,9716797;
24.04.2023 22:35:00.368;0,0042598;24.04.2023 22:35:00.400;12,9716797;
24.04.2023 22:35:00.431;0,0043638;24.04.2023 22:35:00.463;12,9716797;
24.04.2023 22:35:00.496;0,0044502;24.04.2023 22:35:00.528;12,9716797;
24.04.2023 22:35:00.560;0,0045665;24.04.2023 22:35:00.591;12,9716797;
24.04.2023 22:35:00.624;0,0046977;24.04.2023 22:35:00.655;12,9716797;
24.04.2023 22:35:00.687;0,0048217;24.04.2023 22:35:00.719;12,9716797;
24.04.2023 22:35:00.751;0,0049947;24.04.2023 22:35:00.783;12,9716797;
